index,word,count,vec_len,cos_avg
2485,close,333944,1.1167365,0.21103498
2690,middle,333939,1.1261041,0.2419927
2794,added,333852,1.1158906,0.2974828
2959,fourth,333039,0.9530293,0.33257046
2741,sent,332733,1.0620369,0.30260283
2929,movement,331639,1.0725176,0.2661975
2809,eight,331303,0.9203322,0.31245834
2996,studio,331088,1.1098778,0.2927839
3025,previous,330903,1.0339047,0.31938323
3024,provided,330485,1.0457096,0.33441344
3034,conference,330225,1.0804118,0.30004045
2682,above,329783,1.121505,0.22627026
2574,soon,329618,1.0499271,0.2624943
2651,today,329354,1.0683247,0.2309892
2882,grand,327744,1.1857716,0.2659092
2932,magazine,327619,1.0686822,0.28852928
3010,canadian,326865,1.0015169,0.34451413
2999,replaced,326475,1.1578091,0.35210073
2948,aircraft,326396,1.0455637,0.34867778
2689,change,326276,1.0981064,0.24338412
3152,films,326169,1.0373174,0.3572754
2702,ten,326145,0.9851846,0.2728127
2966,medical,325899,1.017023,0.33449948
3029,organization,325190,1.0363474,0.32369575
2924,bank,324921,1.1601081,0.2501417
3181,historic,324436,1.0829451,0.32312506
3023,coast,323964,1.1280874,0.3137026
2730,killed,323391,1.0226083,0.35298562
2968,management,323106,1.0547683,0.2992519
3014,degree,322902,1.1560801,0.30188832
2738,rather,322571,1.1784449,0.27987033
3068,industry,322086,1.0560521,0.3023681
2845,russian,320494,0.9822774,0.34607902
2934,professor,320476,1.0338546,0.33679888
2822,chinese,320132,1.0147532,0.311851
2895,action,319887,1.1379417,0.23626302
2482,car,319883,1.0362328,0.2567581
3026,senior,319056,1.0652156,0.2995881
3001,systems,318642,0.9946888,0.36488762
2665,green,318334,1.0356183,0.23054689
2958,bridge,317626,1.0996779,0.25981778
2974,technology,317555,0.9917059,0.32046297
2471,almost,317553,1.0263472,0.24293032
3065,shows,316668,1.0282426,0.3388762
2502,big,316471,1.0279137,0.23826322
2896,lower,316264,1.0844707,0.2661439
2733,week,315967,1.0563773,0.2899759
3112,success,315843,1.0626296,0.307338
3015,writing,315354,1.1054063,0.29778117
2918,base,314875,1.1440376,0.23114637
2951,data,314523,1.0511613,0.3048607
2945,families,314454,1.1355189,0.33503783
2695,post,314310,1.1730865,0.20701282
2560,least,314025,1.2872237,0.27627292
3006,market,313636,1.1704971,0.2670885
3078,primary,312886,1.0272517,0.28926
2931,female,312875,1.0779648,0.3113551
2584,reached,312867,1.0883243,0.32820174
2927,beginning,312563,1.083278,0.28614646
3028,valley,312107,1.0160581,0.31727082
2598,ground,311888,1.1794822,0.22171089
2828,type,311786,1.0927659,0.22422023
3090,stated,311754,0.95812666,0.37234065
2694,tv,311691,1.0538075,0.2855114
3136,operations,311085,1.0350084,0.34130928
2886,attack,310978,1.044713,0.30287713
2902,hospital,310780,1.0247,0.2907359
2387,saw,310741,1.0671157,0.24063697
3155,approximately,310333,0.94315183,0.35165426
2703,paul,309330,1.0093977,0.30989686
3226,culture,307951,1.0721687,0.28837264
3072,republic,307856,1.1989547,0.30711573
2946,size,306799,1.1167502,0.28527465
3130,previously,305972,1.0635229,0.31764117
2787,decided,305730,1.0334291,0.3417206
3107,introduced,305724,1.0950755,0.3406347
2940,hill,305660,1.0447936,0.2757555
